ZIPCODE,NAICS2012_11,NAICS2012_71,NAICS2012_61,NAICS2012_52,NAICS2012_62,NAICS2012_51,NAICS2012_21,NAICS2012_54,LAT,LON,STATE,ESTMTD_POP_2015
1569,1,7,7,6,11,1,0,22,42.08,-71.6,MA,12610
1570,0,6,7,15,39,3,0,23,42.04,-71.87,MA,14980
1571,0,4,1,6,7,0,1,9,42.05,-71.93,MA,10050
1581,1,12,22,81,98,29,0,164,42.26,-71.61,MA,19460
1583,0,2,9,10,28,1,1,22,42.36,-71.78,MA,6550
1585,0,1,1,3,13,1,0,3,42.23,-72.14,MA,3710
1588,1,3,1,18,27,1,0,22,42.11,-71.67,MA,9200
1590,1,2,1,6,7,4,0,23,42.15,-71.76,MA,8700
1601,0,0,0,0,3,0,0,0,42.26,-71.8,MA,322
1602,0,7,4,15,55,3,0,22,42.27,-71.85,MA,19650
1603,0,5,8,11,42,3,0,21,42.24,-71.84,MA,17400
1604,0,5,9,27,77,4,0,31,42.25,-71.77,MA,31060
1605,0,7,11,47,152,7,0,54,42.29,-71.79,MA,21860
1606,0,6,7,21,49,21,0,36,42.32,-71.8,MA,18160
1607,0,0,1,7,8,0,0,8,42.23,-71.79,MA,7320
1608,0,6,9,69,80,9,0,153,42.26,-71.8,MA,2790
1609,0,6,11,33,114,11,0,84,42.29,-71.83,MA,12910
1610,0,2,6,10,41,7,0,10,42.25,-71.81,MA,16530
1611,0,0,1,0,0,0,0,1,42.23,-71.87,MA,2100
1612,0,2,3,6,9,2,0,6,42.31,-71.93,MA,4310
1613,0,0,1,2,0,0,0,4,42.26,-71.8,MA,1369
1615,0,0,0,1,0,0,0,0,42.26,-71.8,MA,13
1653,0,1,0,0,0,0,0,1,42.26,-71.8,MA,0
1655,0,0,0,1,1,0,0,1,42.26,-71.8,MA,0
1701,1,11,18,78,120,43,0,199,42.3,-71.43,MA,30670
1702,0,8,14,28,150,21,0,93,42.28,-71.44,MA,28760
1703,0,1,0,1,1,1,0,1,42.3,-71.43,MA,160
1719,0,6,2,5,9,5,0,39,42.5,-71.5,MA,5020
1720,1,21,25,28,69,17,0,147,42.48,-71.46,MA,22280
1721,0,3,9,15,25,3,0,60,42.25,-71.46,MA,16840
1730,1,7,15,28,56,24,0,110,42.48,-71.26,MA,13570
1731,0,0,0,1,1,0,0,23,42.46,-71.28,MA,2450
1740,2,3,1,3,9,3,0,29,42.43,-71.6,MA,5230
1741,0,4,2,5,7,5,0,30,42.53,-71.35,MA,5220
1742,1,30,19,45,125,20,0,155,42.45,-71.35,MA,17170
1745,0,0,1,2,2,1,0,4,42.29,-71.5,MA,430
1746,2,3,10,17,26,4,0,48,42.2,-71.43,MA,14290
1747,0,2,2,4,24,1,0,12,42.12,-71.54,MA,5830
1748,0,12,4,23,41,7,0,98,42.22,-71.52,MA,16150
1749,0,9,2,16,26,6,0,46,42.39,-71.56,MA,18590
1752,0,20,14,82,130,44,0,189,42.34,-71.54,MA,36750
1754,0,4,4,7,17,9,0,54,42.42,-71.45,MA,9910
1756,0,3,0,2,4,1,0,15,42.1,-71.55,MA,6060
1757,0,12,10,27,115,11,0,82,42.14,-71.51,MA,26360
1760,0,33,29,38,117,28,0,198,42.28,-71.35,MA,34350
1770,3,5,1,7,9,2,0,21,42.23,-71.36,MA,4310
1772,0,8,9,30,20,9,0,74,42.3,-71.51,MA,9970
1773,0,4,4,7,16,4,0,38,42.41,-71.3,MA,5340
1775,2,6,7,4,8,6,0,25,42.43,-71.5,MA,7030
1776,0,21,7,30,58,12,0,112,42.36,-71.4,MA,18410
1778,2,15,4,25,34,8,0,74,42.36,-71.36,MA,13910
1784,0,1,0,0,0,0,0,0,42.23,-71.55,MA,150
1801,0,25,34,117,161,58,0,316,42.48,-71.15,MA,37270
1803,0,15,22,102,101,108,0,233,42.5,-71.2,MA,24740
1805,0,0,0,0,4,0,0,1,42.5,-71.2,MA,0
1810,0,22,28,84,110,42,0,214,42.65,-71.14,MA,33590
1812,0,0,0,0,0,0,0,1,42.65,-71.14,MA,0
1815,0,0,0,0,0,0,0,1,42.48,-71.15,MA,0
1821,0,6,5,20,39,17,0,85,42.55,-71.26,MA,29980
1824,0,12,21,32,120,17,0,117,42.59,-71.36,MA,25110
1826,0,6,11,21,53,7,0,37,42.68,-71.3,MA,29730
1827,1,0,0,1,2,0,0,4,42.66,-71.48,MA,3120
1830,1,11,7,29,104,9,0,39,42.78,-71.08,MA,21980
1831,0,0,0,2,1,0,0,1,42.78,-71.08,MA,992
1832,0,6,3,8,16,1,0,22,42.79,-71.13,MA,21090
1833,1,4,3,8,16,2,0,22,42.73,-70.98,MA,8180
1834,1,5,1,4,5,0,0,14,42.75,-71.03,MA,6340
1835,1,14,4,12,19,1,0,16,42.75,-71.09,MA,13130
1840,0,3,9,10,67,8,0,18,42.71,-71.16,MA,4200
1841,0,1,4,10,54,1,0,8,42.71,-71.16,MA,43940
1842,0,0,0,2,4,0,0,0,42.7,-71.16,MA,1297
1843,0,4,4,14,47,12,1,35,42.7,-71.16,MA,23800
1844,0,15,12,42,117,12,0,79,42.74,-71.18,MA,47210
1845,1,19,26,72,124,9,0,156,42.7,-71.11,MA,28000
1850,0,0,0,4,7,2,0,2,42.66,-71.3,MA,13690
1851,0,2,6,29,30,20,0,30,42.63,-71.32,MA,29150
1852,1,13,9,38,114,9,0,72,42.63,-71.3,MA,29580
1853,0,2,0,0,0,2,0,0,42.63,-71.32,MA,1641
1854,0,3,7,7,63,3,0,19,42.65,-71.35,MA,20260
1860,0,1,0,5,8,0,0,7,42.83,-71,MA,6110
1862,1,4,2,3,19,4,0,37,42.58,-71.3,MA,9070
1863,0,3,8,7,34,4,0,30,42.63,-71.39,MA,8740
1864,0,12,8,26,37,13,1,79,42.58,-71.08,MA,15120
